case_id,dataset_version,prompt,language,expected_categories,expected_limit,expected_category_limits,expected_goal,expected_tool_intent,expected_nearby,expected_radius_km,expected_target_place_name,expected_valid_plan,expected_unsupported_constraints,difficulty,risk_level,tags,pass_criteria,notes,observed_model,observed_output,pass,latency_ms,retry_count,failure_type,reviewer_notes
INT-0105,planner_intent_v1,Find two cafés within 2 km of me in Turin.,en,cafe,2,"{""cafe"": 2}",recommend,discovery,true,2,,true,,medium,medium,nearby|radius,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0106,planner_intent_v1,Show me a park nearby.,en,park,1,"{""park"": 1}",recommend,discovery,true,,,true,,medium,medium,nearby|radius,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0107,planner_intent_v1,Find one supermarket within 1.5 km.,en,supermarket,1,"{""supermarket"": 1}",recommend,discovery,true,1.5,,true,,medium,medium,nearby|radius,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0108,planner_intent_v1,How do I get to Museo Egizio from here?,en,,5,{},directions,transport,true,,Museo Egizio,true,,hard,medium,transport|named_place,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0109,planner_intent_v1,What is the weather in Turin for the next 6 hours?,en,,5,{},inform,weather,false,,,true,,medium,medium,weather|tool,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0110,planner_intent_v1,Is Museo Egizio open now?,en,,5,{},inform,discovery,false,,Museo Egizio,true,,medium,medium,named_place|hours,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0111,planner_intent_v1,Find a museum with free parking and guaranteed no queues.,en,museum,1,"{""museum"": 1}",recommend,discovery,false,,,true,free_parking|guaranteed_no_queues,hard,medium,unsupported_constraint,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0112,planner_intent_v1,I want somewhere cultural this afternoon.,en,,5,{},recommend,discovery,false,,,true,,medium,medium,ambiguous,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0113,planner_intent_v1,Surprise me with something interesting in Turin.,en,,5,{},recommend,discovery,false,,,true,,medium,medium,broad_discovery,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0114,planner_intent_v1,"Hello, how are you?",en,,5,{},chat,none,false,,,true,,medium,medium,no_tool,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0115,planner_intent_v1,Write me a poem about Turin.,en,,5,{},chat,none,false,,,true,,medium,medium,no_tool,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
